##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	A_R1.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	86909
Sequences flagged as poor quality	0
Sequence length	151
%GC	62
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.37336754536354	37.0	37.0	37.0	37.0	37.0
2	36.429978483241094	37.0	37.0	37.0	37.0	37.0
3	36.423465924127534	37.0	37.0	37.0	37.0	37.0
4	36.476647988125514	37.0	37.0	37.0	37.0	37.0
5	36.474346730488215	37.0	37.0	37.0	37.0	37.0
6	36.49271076643386	37.0	37.0	37.0	37.0	37.0
7	36.49063963456029	37.0	37.0	37.0	37.0	37.0
8	36.50262918685061	37.0	37.0	37.0	37.0	37.0
9	36.49434465935634	37.0	37.0	37.0	37.0	37.0
10-14	36.49524214983488	37.0	37.0	37.0	37.0	37.0
15-19	36.46825300026465	37.0	37.0	37.0	37.0	37.0
20-24	36.42654500684624	37.0	37.0	37.0	37.0	37.0
25-29	36.38333199093304	37.0	37.0	37.0	37.0	37.0
30-34	36.36170016914244	37.0	37.0	37.0	37.0	37.0
35-39	36.34497002611927	37.0	37.0	37.0	37.0	37.0
40-44	36.302995086814946	37.0	37.0	37.0	37.0	37.0
45-49	36.26690216203155	37.0	37.0	37.0	37.0	37.0
50-54	36.22870588776766	37.0	37.0	37.0	37.0	37.0
55-59	36.210700848013445	37.0	37.0	37.0	37.0	37.0
60-64	36.167566074859906	37.0	37.0	37.0	37.0	37.0
65-69	36.13602964019837	37.0	37.0	37.0	37.0	37.0
70-74	36.08435720121046	37.0	37.0	37.0	37.0	37.0
75-79	36.02826634755894	37.0	37.0	37.0	37.0	37.0
80-84	35.997579076965565	37.0	37.0	37.0	37.0	37.0
85-89	36.01483620798766	37.0	37.0	37.0	37.0	37.0
90-94	35.96067841075148	37.0	37.0	37.0	37.0	37.0
95-99	35.91218630981832	37.0	37.0	37.0	37.0	37.0
100-104	35.87909882750924	37.0	37.0	37.0	37.0	37.0
105-109	35.85126281512847	37.0	37.0	37.0	37.0	37.0
110-114	35.80265104879817	37.0	37.0	37.0	37.0	37.0
115-119	35.74559366693899	37.0	37.0	37.0	37.0	37.0
120-124	35.68374966919421	37.0	37.0	37.0	37.0	37.0
125-129	35.6567375070476	37.0	37.0	37.0	37.0	37.0
130-134	35.59145773165035	37.0	37.0	37.0	37.0	37.0
135-139	35.52738841777032	37.0	37.0	37.0	37.0	37.0
140-144	35.45191407103982	37.0	37.0	37.0	37.0	37.0
145-149	35.31280304686511	37.0	37.0	37.0	37.0	37.0
150-151	34.86524985904797	37.0	37.0	37.0	31.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	0.6101733499169484
1101	2	0.5809753162317293
1101	3	0.5046735197376364
1101	4	0.518927351138899
1101	5	-0.9553536385267165
1101	6	0.4816772259080153
1101	7	0.4577553797105267
1101	8	0.45703680815860537
1101	9	-1.0171668549873374
1101	10-14	0.17206705450298188
1101	15-19	0.5484627599371308
1101	20-24	0.5640999574973904
1101	25-29	0.2944911439462885
1101	30-34	-0.037308286442907956
1101	35-39	0.6509521259841762
1101	40-44	0.37705312375187106
1101	45-49	0.39001985431475106
1101	50-54	-0.1274627627832814
1101	55-59	0.8000546770418779
1101	60-64	0.47927020510354623
1101	65-69	0.2339734719222264
1101	70-74	0.5731710371774454
1101	75-79	0.3430259519682366
1101	80-84	0.023261339799823588
1101	85-89	-0.27744839799326826
1101	90-94	0.4262831351934011
1101	95-99	0.48970602403295516
1101	100-104	0.18205228532146123
1101	105-109	0.8675145557197155
1101	110-114	0.26999038591986846
1101	115-119	0.6031845730243219
1101	120-124	1.0136007712610464
1101	125-129	1.0342078541116706
1101	130-134	0.7600103102026381
1101	135-139	0.4745473709576089
1101	140-144	0.6124035710253963
1101	145-149	-0.5616142463899294
1101	150-151	0.6050895893043275
1102	1	-1.989826650083053
1102	2	0.5809753162317293
1102	3	0.5046735197376364
1102	4	0.518927351138899
1102	5	0.5446463614732835
1102	6	0.4816772259080153
1102	7	0.4577553797105267
1102	8	0.45703680815860537
1102	9	0.4828331450126626
1102	10-14	-0.00793294549701784
1102	15-19	0.5484627599371308
1102	20-24	0.3240999574973955
1102	25-29	-0.16550885605371946
1102	30-34	0.37269171355709574
1102	35-39	0.4109521259841813
1102	40-44	0.43705312375187333
1102	45-49	0.1700198543147522
1102	50-54	-0.7474627627832859
1102	55-59	0.560054677041883
1102	60-64	0.7792702051035434
1102	65-69	-0.6460265280777691
1102	70-74	0.6331710371774477
1102	75-79	0.1830259519682329
1102	80-84	0.49326133979982245
1102	85-89	0.2525516020067329
1102	90-94	1.0262831351934025
1102	95-99	-0.43029397596703944
1102	100-104	1.0820522853214598
1102	105-109	0.6475145557197166
1102	110-114	0.9799903859198764
1102	115-119	1.0131845730243256
1102	120-124	1.3136007712610436
1102	125-129	1.0942078541116729
1102	130-134	-0.6299896897973625
1102	135-139	1.4245473709576117
1102	140-144	0.7924035710253889
1102	145-149	-0.4016142463899328
1102	150-151	2.1050895893043275
1103	1	0.6101733499169484
1103	2	0.5809753162317293
1103	3	-0.6953264802623664
1103	4	0.518927351138899
1103	5	-2.055353638526718
1103	6	0.4816772259080153
1103	7	0.4577553797105267
1103	8	0.45703680815860537
1103	9	0.4828331450126626
1103	10-14	0.47206705450297903
1103	15-19	0.5484627599371308
1103	20-24	0.5640999574973904
1103	25-29	0.5944911439462857
1103	30-34	0.6126917135570906
1103	35-39	0.6509521259841762
1103	40-44	0.43705312375187333
1103	45-49	0.45001985431475333
1103	50-54	0.7725372372167172
1103	55-59	0.2800546770418819
1103	60-64	0.7792702051035434
1103	65-69	0.5939734719222329
1103	70-74	0.8731710371774426
1103	75-79	0.7030259519682431
1103	80-84	0.7332613397998315
1103	85-89	0.9725516020067317
1103	90-94	1.0262831351934025
1103	95-99	0.5697060240329606
1103	100-104	1.0820522853214598
1103	105-109	1.1675145557197126
1103	110-114	0.6999903859198753
1103	115-119	1.2531845730243205
1103	120-124	1.3136007712610436
1103	125-129	1.0942078541116729
1103	130-134	0.6500103102026316
1103	135-139	0.9445473709576149
1103	140-144	0.23240357102539377
1103	145-149	0.11838575361007742
1103	150-151	0.20508958930432186
1104	1	0.6101733499169484
1104	2	0.5809753162317293
1104	3	0.5046735197376364
1104	4	-0.6810726488611039
1104	5	0.5446463614732835
1104	6	0.4816772259080153
1104	7	0.4577553797105267
1104	8	0.45703680815860537
1104	9	0.4828331450126626
1104	10-14	0.23206705450298415
1104	15-19	0.06846275993713391
1104	20-24	0.5640999574973904
1104	25-29	0.3544911439462908
1104	30-34	-0.3873082864429094
1104	35-39	0.4109521259841813
1104	40-44	0.43705312375187333
1104	45-49	0.6900198543147482
1104	50-54	0.5325372372167223
1104	55-59	0.560054677041883
1104	60-64	0.7792702051035434
1104	65-69	0.8339734719222278
1104	70-74	0.8731710371774426
1104	75-79	0.423025951968242
1104	80-84	0.9732613397998264
1104	85-89	0.9725516020067317
1104	90-94	0.7862831351934076
1104	95-99	-0.1502939759670383
1104	100-104	0.3220522853214547
1104	105-109	-0.8324854442802874
1104	110-114	0.2199903859198713
1104	115-119	-0.7868154269756857
1104	120-124	-1.2063992287389524
