##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	B_R1.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	91101
Sequences flagged as poor quality	0
Sequence length	151
%GC	62
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.3619169932273	37.0	37.0	37.0	37.0	37.0
2	36.416515735282815	37.0	37.0	37.0	37.0	37.0
3	36.44343091733351	37.0	37.0	37.0	37.0	37.0
4	36.46248669059615	37.0	37.0	37.0	37.0	37.0
5	36.46448447327691	37.0	37.0	37.0	37.0	37.0
6	36.496602671759916	37.0	37.0	37.0	37.0	37.0
7	36.49265101371006	37.0	37.0	37.0	37.0	37.0
8	36.496712440039076	37.0	37.0	37.0	37.0	37.0
9	36.50569148527458	37.0	37.0	37.0	37.0	37.0
10-14	36.489630190667505	37.0	37.0	37.0	37.0	37.0
15-19	36.4534198307373	37.0	37.0	37.0	37.0	37.0
20-24	36.44441005038364	37.0	37.0	37.0	37.0	37.0
25-29	36.37298602649806	37.0	37.0	37.0	37.0	37.0
30-34	36.364244080745536	37.0	37.0	37.0	37.0	37.0
35-39	36.32673845512124	37.0	37.0	37.0	37.0	37.0
40-44	36.292438063248476	37.0	37.0	37.0	37.0	37.0
45-49	36.25026509039418	37.0	37.0	37.0	37.0	37.0
50-54	36.21911724349897	37.0	37.0	37.0	37.0	37.0
55-59	36.18875972821374	37.0	37.0	37.0	37.0	37.0
60-64	36.153594362301185	37.0	37.0	37.0	37.0	37.0
65-69	36.11120624361972	37.0	37.0	37.0	37.0	37.0
70-74	36.06947234388207	37.0	37.0	37.0	37.0	37.0
75-79	36.008862690859594	37.0	37.0	37.0	37.0	37.0
80-84	35.981378909122846	37.0	37.0	37.0	37.0	37.0
85-89	35.97332850352905	37.0	37.0	37.0	37.0	37.0
90-94	35.92332685700486	37.0	37.0	37.0	37.0	37.0
95-99	35.89354452750244	37.0	37.0	37.0	37.0	37.0
100-104	35.84602364408734	37.0	37.0	37.0	37.0	37.0
105-109	35.80850045553836	37.0	37.0	37.0	37.0	37.0
110-114	35.76708268844469	37.0	37.0	37.0	37.0	37.0
115-119	35.70465527271929	37.0	37.0	37.0	37.0	37.0
120-124	35.618061272653435	37.0	37.0	37.0	37.0	37.0
125-129	35.56372597446789	37.0	37.0	37.0	37.0	37.0
130-134	35.48884864051986	37.0	37.0	37.0	37.0	37.0
135-139	35.385752077364685	37.0	37.0	37.0	37.0	37.0
140-144	35.28127023852647	37.0	37.0	37.0	37.0	37.0
145-149	35.100760694174596	37.0	37.0	37.0	27.4	37.0
150-151	34.62410950483529	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.7189700968547115
1101	2	0.6132786373171228
1101	3	-2.0829661257545595
1101	4	-3.409961536564097
1101	5	-2.3335348649451078
1101	6	-0.8974000892269913
1101	7	-2.4248080682375317
1101	8	-0.8926085369995462
1101	9	0.4736410550512957
1101	10-14	-0.603444174533891
1101	15-19	5.999461129846395E-5
1101	20-24	-0.2735420503048829
1101	25-29	-0.5675363122158075
1101	30-34	0.621631903234487
1101	35-39	0.6417517513351214
1101	40-44	-0.7090700586213714
1101	45-49	-0.13769283778901809
1101	50-54	0.24900391156797497
1101	55-59	-0.05387766673025851
1101	60-64	-0.569867562399601
1101	65-69	-0.4772906248547315
1101	70-74	-0.22330387561154907
1101	75-79	0.4513827210301784
1101	80-84	0.13922725778493117
1101	85-89	-0.10944449069448581
1101	90-94	-1.7509831905985536
1101	95-99	0.5770478548042632
1101	100-104	0.868692376000098
1101	105-109	-1.0569410492167037
1101	110-114	0.6699667130116111
1101	115-119	0.491897487602607
1101	120-124	-0.8981398385564745
1101	125-129	0.035280904992475826
1101	130-134	-0.4484609727879203
1101	135-139	-1.2239968305673514
1101	140-144	0.06446674526802809
1101	145-149	1.0480102969205447
1101	150-151	0.32481978788066357
1102	1	-0.30871368659829557
1102	2	0.6132786373171228
1102	3	-0.339376382164815
1102	4	0.5900384634359028
1102	5	-1.444645976056222
1102	6	0.4359332441063444
1102	7	-0.45899610242556577
1102	8	0.44072479633378947
1102	9	-0.4494358680256241
1102	10-14	0.5076669365772162
1102	15-19	0.34877794332924594
1102	20-24	0.3418425650797374
1102	25-29	0.40340385872436
1102	30-34	0.03701651861910449
1102	35-39	-0.7428636332802583
1102	40-44	0.11486156531025671
1102	45-49	0.12213622204004793
1102	50-54	0.38233724490131493
1102	55-59	-0.747894760747343
1102	60-64	-0.4707222632542951
1102	65-69	-0.4841282316923312
1102	70-74	0.34763629532861984
1102	75-79	0.43086990051736507
1102	80-84	0.7990563176139958
1102	85-89	0.6324358511858605
1102	90-94	-0.5202139598293272
1102	95-99	-0.6434649657085529
1102	100-104	0.15074365805138257
1102	105-109	0.6114350191593658
1102	110-114	-0.15054610750120645
1102	115-119	0.12266671837183907
1102	120-124	0.18562084520421251
1102	125-129	1.043827913539495
1102	130-134	0.18401765969071704
1102	135-139	0.2221570155864896
1102	140-144	0.6148940956953837
1102	145-149	1.4924547413649947
1102	150-151	1.4359308989917778
1103	1	0.6143632364786242
1103	2	0.6132786373171228
1103	3	0.5837005409121048
1103	4	0.5900384634359028
1103	5	0.555354023943778
1103	6	0.4359332441063444
1103	7	0.46408082065135403
1103	8	-0.4823521267431303
1103	9	0.4736410550512957
1103	10-14	0.3230515519618322
1103	15-19	-0.020452825901521976
1103	20-24	0.3418425650797374
1103	25-29	-0.21198075666025318
1103	30-34	0.43701651861910307
1103	35-39	-0.31209440251102905
1103	40-44	0.4840923345410246
1103	45-49	0.3067516066554319
1103	50-54	0.013106475670554119
1103	55-59	0.4213360084834221
1103	60-64	0.2985085059764714
1103	65-69	-0.23797438553848593
1103	70-74	0.7476362953286184
1103	75-79	0.1847160543635198
1103	80-84	0.6144409329986118
1103	85-89	0.2632050819550926
1103	90-94	0.09517065555528603
1103	95-99	0.9257658035222178
1103	100-104	0.027666734974452822
1103	105-109	0.7960504037747498
1103	110-114	-0.11977687673197579
1103	115-119	0.15343594914106973
1103	120-124	1.139466999050363
1103	125-129	-0.8946336249220508
1103	130-134	0.92247919815226
1103	135-139	0.8067724002018792
1103	140-144	0.7995094803107676
1103	145-149	0.5386085875188371
1103	150-151	1.4359308989917778
1104	1	-0.38563676352137577
1104	2	0.6132786373171228
1104	3	0.5837005409121048
1104	4	-0.4099615365640972
1104	5	0.555354023943778
1104	6	0.4359332441063444
1104	7	0.46408082065135403
1104	8	0.44072479633378947
1104	9	0.4736410550512957
1104	10-14	0.30766693657721333
1104	15-19	0.13339332794463132
1104	20-24	0.32645794969511854
1104	25-29	-0.04531408999358888
1104	30-34	0.4216319032344842
1104	35-39	-0.22491491533153862
1104	40-44	-0.9979589475102628
1104	45-49	0.5067516066554276
1104	50-54	-0.2509960884320179
1104	55-59	-0.44276655561914424
1104	60-64	-0.6143120068440382
1104	65-69	-1.1995128470769458
1104	70-74	-1.167748320055992
1104	75-79	-0.948617278969806
1104	80-84	-1.5163282977706132
1104	85-89	-0.26500004625003726
1104	90-94	-0.18431652393189069
1104	95-99	-0.7562854785290583
1104	100-104	-2.931307623999899
1104	105-109	-0.7680521603278123
1104	110-114	-0.9300332869883903
1104	115-119	-1.2414358457307273
1104	120-124	-1.175917616334246
1104	125-129	-0.2536079838964085
1104	130-134	-1.2929054172323546
1104	135-139	-0.7573301639006829
1104	140-144	-0.7799776991764134
1104	145-149	-0.20754525863500106
1104	150-151	-0.7307357676748865
1105	1	0.6143632364786242
1105	2	-1.5533880293495415
1105	3	-1.5829661257545595
1105	4	0.5900384634359028
1105	5	-1.6113126427228863
1105	6	0.4359332441063444
1105	7	0.46408082065135403
1105	8	-0.5592752036662105
1105	9	-0.5263589449487043
1105	10-14	-0.35899973008944386
1105	15-19	-0.7332733387220358
1105	20-24	-0.5402087169715415
1105	25-29	-0.44531408999358746
1105	30-34	0.621631903234487
1105	35-39	-0.3582482486648786
1105	40-44	-1.4312922808435928
1105	45-49	0.10675160665542904
1105	50-54	-0.050996088432015085
1105	55-59	-0.27609988895247284
1105	60-64	-0.8476453401773725
1105	65-69	-0.7995128470769473
1105	70-74	-0.33441498672266334
1105	75-79	0.1847160543635198
1105	80-84	-0.8496616311039489
1105	85-89	-0.465000046250033
1105	90-94	-1.4843165239318807
1105	95-99	0.2770478548042732
1105	100-104	0.5353590426667623
1105	105-109	0.13194783967218626
1105	110-114	-0.9300332869883903
1105	115-119	0.025230820935938425
1105	120-124	1.124082383665744
1105	125-129	0.17972534943692153
1105	130-134	0.2404279161009768
1105	135-139	-0.32399683056735284
1105	140-144	0.2533556341569252
1105	145-149	-0.44087859196833534
1105	150-151	-0.14740243434155076
1106	1	-0.47654585443046926
1106	2	-0.47763045359197065
1106	3	0.5837005409121048
1106	4	0.5900384634359028
1106	5	-0.5355550669653155
1106	6	0.4359332441063444
1106	7	-0.6268282702577395
1106	8	-1.9229115673025774
1106	9	0.4736410550512957
1106	10-14	-0.8377876088773348
1106	15-19	0.0970296915809925
1106	20-24	0.3082761315133027
1106	25-29	0.588019243339744
1106	30-34	0.621631903234487
1106	35-39	-0.5218846123012497
1106	40-44	0.4505259009745899
1106	45-49	0.23402433392815425
1106	50-54	0.7823372449013135
1106	55-59	0.5723849595323713
1106	60-64	0.41599102345898586
1106	65-69	0.2459416983775924
1106	70-74	0.9322516799440024
1106	75-79	0.33017059981806085
1106	80-84	0.765489884047561
1106	85-89	0.7834848022348098
1106	90-94	0.3581077184923487
1106	95-99	0.6376539154103256
1106	100-104	0.008086315394038479
1106	105-109	0.001644809369153677
1106	110-114	-0.43306359001869765
1106	115-119	0.41917021487532935
1106	120-124	0.4149914745748333
1106	125-129	-0.1869413172297456
1106	130-134	-0.0929054172323589
1106	135-139	0.1941849876144559
1106	140-144	-0.35573527493399126
1106	145-149	-0.8348179859077405
1106	150-151	0.7086581717190512
1107	1	0.6143632364786242
1107	2	0.6132786373171228
1107	3	-1.5829661257545595
1107	4	-0.4099615365640972
1107	5	-0.444645976056222
1107	6	0.4359332441063444
1107	7	0.46408082065135403
1107	8	0.44072479633378947
1107	9	0.4736410550512957
1107	10-14	0.5076669365772162
1107	15-19	-0.7332733387220358
1107	20-24	-0.10687538363821147
1107	25-29	-0.4786474233269189
1107	30-34	-0.44503476343217585
1107	35-39	-0.8582482486648715
1107	40-44	0.6687077191564086
1107	45-49	0.3067516066554319
1107	50-54	-0.08432942176534652
1107	55-59	-0.04276655561913856
1107	60-64	0.6523546598226204
1107	65-69	0.30048715292304706
1107	70-74	0.7322516799439995
1107	75-79	-0.3152839456364802
1107	80-84	0.35033836889604686
1107	85-89	-1.3316667129167001
1107	90-94	0.6156834760681136
1107	95-99	0.24371452147094175
1107	100-104	0.9353590426667608
1107	105-109	0.36528117300552054
1107	110-114	0.7699667130116126
1107	115-119	0.6585641542692713
1107	120-124	0.9240823836657484
1107	125-129	0.5797253494369272
1107	130-134	1.3070945827676397
1107	135-139	-0.49066349723401714
1107	140-144	-0.613311032509742
1107	145-149	-0.6742119253016767
1107	150-151	0.35259756565844924
1108	1	0.6143632364786242
1108	2	-0.47763045359197065
1108	3	0.5837005409121048
1108	4	0.5900384634359028
1108	5	0.555354023943778
1108	6	0.4359332441063444
1108	7	0.46408082065135403
1108	8	0.44072479633378947
1108	9	0.4736410550512957
1108	10-14	-0.18324215433187874
1108	15-19	-0.3393339447826449
1108	20-24	0.3082761315133027
1108	25-29	0.11529197061246776
1108	30-34	-0.3238226422200654
1108	35-39	0.6417517513351214
1108	40-44	0.2323440827927712
1108	45-49	0.27038797029179307
1108	50-54	-0.1267536641896001
1108	55-59	0.13602132316873394
1108	60-64	-0.05673624926829035
1108	65-69	0.9004871529230485
1108	70-74	0.05952440721672758
1108	75-79	-0.8334657638183032
1108	80-84	-0.3981464795888101
1108	85-89	-0.34378792503791544
1108	90-94	-0.11461955423492043
1108	95-99	0.01947209722850829
1108	100-104	0.917177224484945
1108	105-109	-0.4347188269944837
1108	110-114	-0.14215449910960132
1108	115-119	-0.5262843305792231
1108	120-124	-0.7850085254251624
1108	125-129	0.2494223191338918
1108	130-134	-0.12926905359599772
1108	135-139	0.4487304421599134
1108	140-144	0.8442647250660045
1108	145-149	-0.6529998040895535
1108	150-151	0.16320362626450446
1109	1	0.6143632364786242
1109	2	0.6132786373171228
1109	3	0.5837005409121048
1109	4	-1.591779718382277
1109	5	0.555354023943778
1109	6	-0.6549758468027491
1109	7	-0.6268282702577395
1109	8	0.44072479633378947
1109	9	0.4736410550512957
1109	10-14	0.07130330021357878
1109	15-19	0.5333933279446299
1109	20-24	0.5264579496951214
1109	25-29	0.588019243339744
1109	30-34	0.621631903234487
1109	35-39	0.6417517513351214
1109	40-44	0.4505259009745899
1109	45-49	0.27038797029179307
1109	50-54	0.5641554267194948
1109	55-59	0.13602132316873394
1109	60-64	0.6341728416408046
1109	65-69	-0.4086037561678637
1109	70-74	0.495888043580365
1109	75-79	-0.39710212745465867
1109	80-84	-0.3254192068615325
1109	85-89	-0.16196974321973556
1109	90-94	-1.0600740996894658
1109	95-99	-1.1805279027714946
1109	100-104	-0.7191864118786953
1109	105-109	0.4743720820964228
1109	110-114	-0.1057908627459696
1109	115-119	-0.7444661487610347
1109	120-124	-0.7850085254251624
1109	125-129	-1.3869413172297413
1109	130-134	-1.074723599050543
1109	135-139	-1.4421786487491701
1109	140-144	-2.428462547661262
1109	145-149	-2.543908894998637
1109	150-151	-1.109523646462769
1110	1	-0.5856367635213786
1110	2	0.6132786373171228
1110	3	0.5837005409121048
1110	4	0.5900384634359028
1110	5	0.555354023943778
1110	6	0.4359332441063444
1110	7	0.46408082065135403
1110	8	0.44072479633378947
1110	9	0.4736410550512957
1110	10-14	0.5076669365772162
1110	15-19	0.5333933279446299
1110	20-24	0.5264579496951214
1110	25-29	0.588019243339744
1110	30-34	0.621631903234487
1110	35-39	0.6417517513351214
1110	40-44	0.6687077191564086
1110	45-49	0.18675160665543444
1110	50-54	0.022337244901308395
1110	55-59	0.79056677771419
1110	60-64	0.3723546598226193
1110	65-69	0.6604871529230536
1110	70-74	0.9322516799440024
1110	75-79	0.984716054363517
1110	80-84	0.9836717022293797
1110	85-89	1.0016666204166285
1110	90-94	0.2890168094014456
1110	95-99	1.1103811881376018
1110	100-104	0.8953590426667688
1110	105-109	0.6452811730055217
1110	110-114	0.44330004634493747
1110	115-119	1.0518974876026093
1110	120-124	1.324082383665747
1110	125-129	1.4130586827702558
1110	130-134	1.2670945827676476
1110	135-139	1.5760031694326457
1110	140-144	0.5133556341569232
1110	145-149	1.8924547413649933
1110	150-151	2.435930898991778
1111	1	-1.55230343018804
1111	2	-2.5533880293495415
1111	3	0.5837005409121048
1111	4	-1.5766282032307615
1111	5	-0.444645976056222
1111	6	-2.73073342256032
1111	7	-1.7025858460153103
1111	8	-1.7259418703328748
1111	9	-1.6930256116153686
1111	10-14	-1.5923330634227852
1111	15-19	-0.2999400053886987
1111	20-24	-2.07354205030488
1111	25-29	-0.8786474233269175
1111	30-34	-2.578368096765516
1111	35-39	-1.6915815819982072
1111	40-44	-1.2312922808435829
1111	45-49	-0.5599150600112353
1111	50-54	-0.45099608843202077
1111	55-59	-0.7094332222858029
1111	60-64	-1.6809786735107082
1111	65-69	-1.6661795137436144
1111	70-74	-1.601081653389322
1111	75-79	-1.3486172789698117
1111	80-84	-0.5163282977706132
1111	85-89	0.16833328708329987
1111	90-94	-1.284316523931885
1111	95-99	-0.1229521451957325
1111	100-104	-1.2313076239998964
1111	105-109	-0.6680521603278109
1111	110-114	-0.8966999536550517
1111	115-119	-0.7747691790640587
1111	120-124	-0.3759176163342559
1111	125-129	0.4130586827702558
1111	130-134	-1.092905417232359
1111	135-139	-0.49066349723402425
1111	140-144	0.32002230082358807
1111	145-149	-0.2408785919683396
1111	150-151	0.9359308989917778
1112	1	-0.38563676352137577
1112	2	0.6132786373171228
1112	3	0.5837005409121048
1112	4	0.5900384634359028
1112	5	-1.6113126427228863
1112	6	-1.73073342256032
1112	7	0.46408082065135403
1112	8	0.44072479633378947
1112	9	0.4736410550512957
1112	10-14	-0.8923330634227824
1112	15-19	-0.26660667205536726
1112	20-24	0.32645794969511854
1112	25-29	-0.44531408999358746
1112	30-34	0.22163190323448845
1112	35-39	0.2084184180017914
1112	40-44	0.03537438582307573
1112	45-49	0.0734182733220976
1112	50-54	0.5823372449013107
1112	55-59	0.19056677771418862
1112	60-64	-0.14764534017737674
1112	65-69	-0.13284618041028295
1112	70-74	-0.10108165338932906
1112	75-79	-0.41528394563648163
1112	80-84	0.7836717022293769
1112	85-89	-0.03166671291670298
1112	90-94	0.049016809401443595
1112	95-99	0.043714521470938905
1112	100-104	0.3353590426667665
1112	105-109	0.5319478396721848
1112	110-114	0.803300046344944
1112	115-119	0.8918974876026056
1112	120-124	-0.5759176163342445
1112	125-129	1.4130586827702558
1112	130-134	0.44042791610097964
1112	135-139	0.7426698360993171
1112	140-144	0.7200223008235866
1112	145-149	0.4257880746983318
1112	150-151	0.8525975656584492
1113	1	-1.9856367635213772
1113	2	-1.7867213626828757
1113	3	-0.6162994590878981
1113	4	-2.0099615365640986
1113	5	0.555354023943778
1113	6	-0.7640667558936585
1113	7	0.46408082065135403
1113	8	-0.7592752036662134
1113	9	0.4736410550512957
1113	10-14	-1.492333063422791
1113	15-19	-0.18660667205537607
1113	20-24	-1.2335420503048766
1113	25-29	-2.131980756660255
1113	30-34	-0.13836809676551098
1113	35-39	-1.0382482486648783
1113	40-44	-0.29129228084359227
1113	45-49	-2.8532483933445647
1113	50-54	-0.7376627550986825
1113	55-59	-0.969433222285808
1113	60-64	-0.4276453401773779
1113	65-69	-1.8595128470769495
1113	70-74	0.2122516799439964
1113	75-79	-2.495283945636487
1113	80-84	-0.7763282977706254
1113	85-89	-0.7583333795833767
1113	90-94	-0.6709831905985624
1113	95-99	-0.16961881186239935
1113	100-104	-1.02464095733324
1113	105-109	-0.8747188269944814
1113	110-114	-0.5566999536550625
1113	115-119	-0.18810251239739273
1113	120-124	-0.4359176163342511
1113	125-129	-1.8669413172297382
1113	130-134	-1.2529054172323555
1113	135-139	-0.14399683056735313
1113	140-144	-1.726644365843086
1113	145-149	0.13245474136498814
1113	150-151	-1.9640691010082207
1114	1	-1.7492731271577426
1114	2	0.6132786373171228
1114	3	0.5837005409121048
1114	4	0.5900384634359028
1114	5	-1.626464157874402
1114	6	0.4359332441063444
1114	7	-0.6268282702577395
1114	8	-0.650184294575304
1114	9	-5.344540763130521
1114	10-14	-1.3105148816045968
1114	15-19	-1.321152126600822
1114	20-24	-3.1826329593957894
1114	25-29	-1.3028898475693467
1114	30-34	-1.196549914947333
1114	35-39	-1.3946118850285174
1114	40-44	-3.2949286444799455
1114	45-49	-2.4568847569809336
1114	50-54	-2.8903900278259584
1114	55-59	-2.191251404103987
1114	60-64	-1.620372612904653
1114	65-69	-3.7904219379860393
1114	70-74	-2.0859301382378206
1114	75-79	-1.7789203092728485
1114	80-84	-0.6526919341342605
1114	85-89	-2.9619697432197327
1114	90-94	-3.641892281507644
1114	95-99	-3.3259824482260285
1114	100-104	-3.773731866424143
1114	105-109	-3.4892642815399313
1114	110-114	-4.396699953655059
1114	115-119	-3.326284330579213
1114	120-124	-2.857735798152433
1114	125-129	-3.8960322263206564
1114	130-134	-4.529269053595996
1114	135-139	-4.242178648749174
1114	140-144	-4.355735274933995
1114	145-149	-5.089363440453194
1114	150-151	-5.745887282826402
1115	1	0.6143632364786242
1115	2	0.6132786373171228
1115	3	0.5837005409121048
1115	4	0.5900384634359028
1115	5	0.555354023943778
1115	6	0.4359332441063444
1115	7	0.46408082065135403
1115	8	0.44072479633378947
1115	9	-0.6172680358577978
1115	10-14	0.5076669365772162
1115	15-19	0.5333933279446299
1115	20-24	0.5264579496951214
1115	25-29	0.3698374251579253
1115	30-34	0.621631903234487
1115	35-39	0.4235699331533027
1115	40-44	0.2323440827927712
1115	45-49	0.27038797029179307
1115	50-54	0.3459736085376761
1115	55-59	-1.3185241313767193
1115	60-64	-0.784008976541017
1115	65-69	-0.5176946652587731
1115	70-74	-1.3586574109650869
1115	75-79	-0.36073849109103406
1115	80-84	-0.6163282977706217
1115	85-89	-0.5983333795833801
1115	90-94	-0.07825591787128872
1115	95-99	-0.48961881186239964
1115	100-104	-0.5010045936968766
1115	105-109	-0.4347188269944837
1115	110-114	-0.43306359001869765
1115	115-119	0.6009883966935092
1115	120-124	0.1604460200293758
1115	125-129	0.540331410042981
1115	130-134	0.8161854918585476
1115	135-139	0.7032758967053709
1115	140-144	-0.57391709311581
1115	145-149	1.4560911050013559
1115	150-151	0.7086581717190512
1116	1	0.6143632364786242
1116	2	0.6132786373171228
1116	3	0.5837005409121048
1116	4	0.5900384634359028
1116	5	-0.6446459760562249
1116	6	-2.164066755893657
1116	7	-2.1359191793486474
1116	8	-2.159275203666212
1116	9	0.4736410550512957
1116	10-14	-0.012333063422779844
1116	15-19	0.05339332794463303
1116	20-24	0.046457949695117406
1116	25-29	-0.3719807566602569
1116	30-34	0.101631903234491
1116	35-39	0.16175175133512454
1116	40-44	-0.8912922808435866
1116	45-49	-0.013248393344575504
1116	50-54	0.022337244901308395
1116	55-59	-0.44943322228580485
1116	60-64	-0.9076453401773819
1116	65-69	-0.09951284707695152
1116	70-74	-0.34774832005599166
1116	75-79	0.4647160543635209
1116	80-84	-0.01632829777062028
1116	85-89	0.7616666204166336
1116	90-94	-0.4309831905985533
1116	95-99	0.8703811881376069
1116	100-104	0.09535904266676454
1116	105-109	0.12528117300551855
1116	110-114	-0.5166999536550634
1116	115-119	0.011897487602603007
1116	120-124	-0.1959176163342491
1116	125-129	0.6530586827702507
1116	130-134	0.26709458276764764
1116	135-139	0.5360031694326466
1116	140-144	-0.8066443658430771
1116	145-149	-0.147545258635013
1116	150-151	-0.764069101008225
1117	1	-1.9856367635213772
1117	2	0.6132786373171228
1117	3	0.5837005409121048
1117	4	-0.6099615365641
1117	5	0.555354023943778
1117	6	0.4359332441063444
1117	7	-0.7359191793486488
1117	8	0.44072479633378947
1117	9	-0.7263589449487071
1117	10-14	0.5076669365772162
1117	15-19	0.293393327944635
1117	20-24	0.5264579496951214
1117	25-29	0.588019243339744
1117	30-34	0.621631903234487
1117	35-39	-0.5982482486648735
1117	40-44	-0.05129228084359738
1117	45-49	-0.8132483933445656
1117	50-54	-0.4576627550986814
1117	55-59	-0.44943322228580485
1117	60-64	-0.3876453401773716
1117	65-69	-0.09951284707695152
1117	70-74	0.4522516799440055
1117	75-79	-0.5352839456364862
1117	80-84	0.7436717022293848
1117	85-89	0.5216666204166316
1117	90-94	0.5690168094014396
1117	95-99	0.3903811881376029
1117	100-104	0.37535904266675857
1117	105-109	0.44528117300551884
1117	110-114	0.9633000463449477
1117	115-119	0.29189748760260414
1117	120-124	0.604082383665741
1117	125-129	1.173058682770261
1117	130-134	1.2670945827676476
1117	135-139	0.2960031694326517
1117	140-144	-0.00664436584308703
1117	145-149	1.4124547413649893
1117	150-151	0.5359308989917722
1118	1	0.6143632364786242
1118	2	0.6132786373171228
1118	3	0.5837005409121048
1118	4	-0.5008706274731907
1118	5	-0.5355550669653155
1118	6	-0.6549758468027491
1118	7	-1.8995555429850128
1118	8	-0.650184294575304
1118	9	-1.8899953085850711
1118	10-14	0.07130330021357878
1118	15-19	-0.157515762964465
1118	20-24	0.09009431333148399
1118	25-29	0.588019243339744
1118	30-34	0.621631903234487
1118	35-39	0.20538811497148401
1118	40-44	0.01416226461095249
1118	45-49	0.27038797029179307
1118	50-54	0.12779179035585742
1118	55-59	0.3178395049869138
1118	60-64	0.6341728416408046
