##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	B_R2.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	91101
Sequences flagged as poor quality	0
Sequence length	151
%GC	62
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.10683746610904	37.0	37.0	37.0	37.0	37.0
2	36.21653988430423	37.0	37.0	37.0	37.0	37.0
3	36.044532990856304	37.0	37.0	37.0	37.0	37.0
4	36.13351115794558	37.0	37.0	37.0	37.0	37.0
5	36.16407064686447	37.0	37.0	37.0	37.0	37.0
6	36.190876060636	37.0	37.0	37.0	37.0	37.0
7	36.22180876170404	37.0	37.0	37.0	37.0	37.0
8	36.252873184707084	37.0	37.0	37.0	37.0	37.0
9	36.20887805841868	37.0	37.0	37.0	37.0	37.0
10-14	36.25609159065213	37.0	37.0	37.0	37.0	37.0
15-19	36.236917267647996	37.0	37.0	37.0	37.0	37.0
20-24	36.230076508490576	37.0	37.0	37.0	37.0	37.0
25-29	36.2018353256276	37.0	37.0	37.0	37.0	37.0
30-34	36.18267856554813	37.0	37.0	37.0	37.0	37.0
35-39	36.17463035531993	37.0	37.0	37.0	37.0	37.0
40-44	36.158757862152996	37.0	37.0	37.0	37.0	37.0
45-49	36.12872087024292	37.0	37.0	37.0	37.0	37.0
50-54	36.092317318141404	37.0	37.0	37.0	37.0	37.0
55-59	36.02533232346516	37.0	37.0	37.0	37.0	37.0
60-64	35.950549390237214	37.0	37.0	37.0	37.0	37.0
65-69	35.90604493913349	37.0	37.0	37.0	37.0	37.0
70-74	35.871784063841226	37.0	37.0	37.0	37.0	37.0
75-79	35.83238603308416	37.0	37.0	37.0	37.0	37.0
80-84	35.79430961240821	37.0	37.0	37.0	37.0	37.0
85-89	35.765624965697405	37.0	37.0	37.0	37.0	37.0
90-94	35.732808640958936	37.0	37.0	37.0	37.0	37.0
95-99	35.727719783536955	37.0	37.0	37.0	37.0	37.0
100-104	35.60546865566788	37.0	37.0	37.0	37.0	37.0
105-109	35.549464879639075	37.0	37.0	37.0	37.0	37.0
110-114	35.47077858640411	37.0	37.0	37.0	37.0	37.0
115-119	35.338679048528554	37.0	37.0	37.0	37.0	37.0
120-124	35.13688543484704	37.0	37.0	37.0	32.2	37.0
125-129	34.922626535383806	37.0	37.0	37.0	25.0	37.0
130-134	34.641268482234004	37.0	37.0	37.0	25.0	37.0
135-139	34.25527930538633	37.0	37.0	37.0	25.0	37.0
140-144	33.83048484648906	37.0	37.0	37.0	25.0	37.0
145-149	33.44633099526899	37.0	37.0	37.0	19.4	37.0
150-151	32.685360204608074	37.0	37.0	37.0	11.0	37.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	0.8605743081704702
1101	2	-4.967599968881991
1101	3	-0.3042920754458862
1101	4	-0.5034718486641623
1101	5	0.8147949213654613
1101	6	0.8099122446879079
1101	7	-0.5258190468126287
1101	8	-2.113421573677954
1101	9	0.7583427078619565
1101	10-14	-0.6916763602020239
1101	15-19	-0.36785227592924485
1101	20-24	-1.4724196150478264
1101	25-29	0.1946380767854805
1101	30-34	-0.06887438416286784
1101	35-39	-0.8908529314940168
1101	40-44	-0.8769154314346963
1101	45-49	0.5673860873219567
1101	50-54	-1.9681440093619784
1101	55-59	0.4074799179927595
1101	60-64	-0.3928167665667388
1101	65-69	-0.6803555335927314
1101	70-74	-0.01845275213864994
1101	75-79	0.8627422458832825
1101	80-84	-1.6284509377137724
1101	85-89	-0.45853563933692953
1101	90-94	-0.19061646686651557
1101	95-99	-1.197688375252568
1101	100-104	-1.4166752727329595
1101	105-109	-0.5394268611255981
1101	110-114	-0.15550095678302256
1101	115-119	-0.921808034083675
1101	120-124	-1.242013904898542
1101	125-129	-0.4790123326340989
1101	130-134	-1.3260416684454839
1101	135-139	-1.2054314975148372
1101	140-144	0.28059988918963086
1101	145-149	0.4600100421895448
1101	150-151	0.07812243252946871
1102	1	0.8605743081704702
1102	2	0.8101778088957872
1102	3	-1.8940356651894703
1102	4	-2.0932154384077464
1102	5	-1.0313589247883854
1102	6	0.8099122446879079
1102	7	-0.1155626365562128
1102	8	0.7754673152109319
1102	9	-1.2416572921380435
1102	10-14	-0.3771464456721034
1102	15-19	-0.7952027032796636
1102	20-24	0.7498026071743951
1102	25-29	0.1878004699478737
1102	30-34	0.37557006028158213
1102	35-39	-0.1250409656820466
1102	40-44	0.22735807283880405
1102	45-49	-1.1044087844729162
1102	50-54	-0.2621611033790643
1102	55-59	0.5408132513260995
1102	60-64	0.2157302419802818
1102	65-69	-1.2854837387209344
1102	70-74	-0.045803179489077195
1102	75-79	-0.039821856680816836
1102	80-84	0.033087523824697485
1102	85-89	0.2320626512613586
1102	90-94	0.4623749861249422
1102	95-99	0.8912005136363206
1102	100-104	0.21409395803627973
1102	105-109	0.6776671559684289
1102	110-114	1.1197127184306552
1102	115-119	0.4422945300188985
1102	120-124	1.1306356677510294
1102	125-129	0.08509023146847738
1102	130-134	0.749172006768184
1102	135-139	1.4270471349638
1102	140-144	1.7711981797879233
1102	145-149	1.0480442302237307
1102	150-151	1.4541908085978505
1103	1	0.8605743081704702
1103	2	-1.1898221911042128
1103	3	1.0290412578874495
1103	4	-0.09321543840774638
1103	5	-0.10828200171145852
1103	6	-0.1131646783890119
1103	7	0.807514286520707
1103	8	-1.0706865309429148
1103	9	-0.16473421521496334
1103	10-14	-0.4694541379798025
1103	15-19	-0.21058731866428104
1103	20-24	0.38057183794362714
1103	25-29	-0.3660456838982782
