##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	C_R1.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	149038
Sequences flagged as poor quality	0
Sequence length	151
%GC	61
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.34336209557294	37.0	37.0	37.0	37.0	37.0
2	36.430205719346745	37.0	37.0	37.0	37.0	37.0
3	36.42093962613561	37.0	37.0	37.0	37.0	37.0
4	36.46734389887143	37.0	37.0	37.0	37.0	37.0
5	36.47303372294314	37.0	37.0	37.0	37.0	37.0
6	36.48477569478925	37.0	37.0	37.0	37.0	37.0
7	36.476616701780756	37.0	37.0	37.0	37.0	37.0
8	36.49781934808572	37.0	37.0	37.0	37.0	37.0
9	36.49019713093305	37.0	37.0	37.0	37.0	37.0
10-14	36.48145305224172	37.0	37.0	37.0	37.0	37.0
15-19	36.458641420308915	37.0	37.0	37.0	37.0	37.0
20-24	36.426736805378496	37.0	37.0	37.0	37.0	37.0
25-29	36.371668970329715	37.0	37.0	37.0	37.0	37.0
30-34	36.343139333592774	37.0	37.0	37.0	37.0	37.0
35-39	36.33104308968183	37.0	37.0	37.0	37.0	37.0
40-44	36.29976784444236	37.0	37.0	37.0	37.0	37.0
45-49	36.2742602557737	37.0	37.0	37.0	37.0	37.0
50-54	36.229015418886455	37.0	37.0	37.0	37.0	37.0
55-59	36.19930487526671	37.0	37.0	37.0	37.0	37.0
60-64	36.164081643607666	37.0	37.0	37.0	37.0	37.0
65-69	36.13381285309787	37.0	37.0	37.0	37.0	37.0
70-74	36.11335095747393	37.0	37.0	37.0	37.0	37.0
75-79	36.03094244420886	37.0	37.0	37.0	37.0	37.0
80-84	36.01339389954241	37.0	37.0	37.0	37.0	37.0
85-89	36.00033280103061	37.0	37.0	37.0	37.0	37.0
90-94	35.96572551966613	37.0	37.0	37.0	37.0	37.0
95-99	35.93461264912304	37.0	37.0	37.0	37.0	37.0
100-104	35.88831304767911	37.0	37.0	37.0	37.0	37.0
105-109	35.85483165367222	37.0	37.0	37.0	37.0	37.0
110-114	35.800998403091825	37.0	37.0	37.0	37.0	37.0
115-119	35.71028328345791	37.0	37.0	37.0	37.0	37.0
120-124	35.60073806680175	37.0	37.0	37.0	37.0	37.0
125-129	35.50273353104577	37.0	37.0	37.0	37.0	37.0
130-134	35.36274507172668	37.0	37.0	37.0	37.0	37.0
135-139	35.149033132489706	37.0	37.0	37.0	34.6	37.0
140-144	34.90302204806828	37.0	37.0	37.0	25.0	37.0
145-149	34.56398770783291	37.0	37.0	37.0	25.0	37.0
150-151	34.006736536990566	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	0.6175308938211117
1101	2	-0.08999048195492065
1101	3	0.5559896603623571
1101	4	0.5477117913575285
1101	5	0.5186405104135687
1101	6	-0.9556575851293232
1101	7	0.5350627142035904
1101	8	0.47191622139472855
1101	9	0.4584509394228533
1101	10-14	0.07212636815483364
1101	15-19	0.24872738399048444
1101	20-24	-0.26683302543715826
1101	25-29	0.07988885822198455
1101	30-34	-0.032597794954135395
1101	35-39	0.3925637072426085
1101	40-44	0.2856049021736595
1101	45-49	0.026516101946967296
1101	50-54	0.5041175333025478
1101	55-59	0.6584594176741376
1101	60-64	0.4154372413985854
1101	65-69	-0.10412430922339411
1101	70-74	0.6324531922768131
1101	75-79	0.42133464476319205
1101	80-84	0.8662828656940178
1101	85-89	0.8923360180408935
1101	90-94	0.36622283870444505
1101	95-99	0.6456777083341336
1101	100-104	0.592124314955349
1101	105-109	0.6396108125352242
1101	110-114	0.6254002588674723
1101	115-119	1.0202714129632255
1101	120-124	0.5908528035327549
1101	125-129	0.7134241371358243
1101	130-134	0.5367995913222359
1101	135-139	-0.3596324229995247
1101	140-144	-0.13596081942549176
1101	145-149	0.3735160227863119
1101	150-151	0.9501801888143788
1102	1	0.6175308938211117
1102	2	-0.023323815288257777
1102	3	-0.044010339637644336
1102	4	-1.9522882086424715
1102	5	-0.08135948958643269
1102	6	-0.8112131406848775
1102	7	-0.064937285796411
1102	8	0.47191622139472855
1102	9	-0.1415490605771481
1102	10-14	-0.38565140962295885
1102	15-19	-0.744605949342855
1102	20-24	-0.06461080321493284
1102	25-29	0.23322219155531343
1102	30-34	-0.365931128287464
1102	35-39	-0.20076962609072524
1102	40-44	0.08782712439587215
1102	45-49	-0.6645950091641382
1102	50-54	-0.5092158000307947
1102	55-59	-0.20820724899252951
1102	60-64	-1.0423405363791858
1102	65-69	0.37143124633216473
1102	70-74	0.27911985894348135
1102	75-79	-0.7631097996812457
1102	80-84	0.39961619902734924
1102	85-89	0.5256693513742263
1102	90-94	0.1528895053711068
1102	95-99	0.047899930556354775
1102	100-104	0.22545764828868187
1102	105-109	0.2929441458685531
1102	110-114	-0.07904418557697568
1102	115-119	1.0469380796298964
1102	120-124	-0.06692497424502619
1102	125-129	1.1556463593580446
1102	130-134	1.1901329246555719
1102	135-139	0.6670342436671461
1102	140-144	0.9151502916856131
1102	145-149	1.2646271338974202
1102	150-151	-0.13870870007450975
1103	1	0.6175308938211117
1103	2	0.5766761847117436
1103	3	-0.3670872627145627
1103	4	0.5477117913575285
1103	5	0.5186405104135687
1103	6	0.48878685931511967
1103	7	0.5350627142035904
1103	8	0.47191622139472855
1103	9	0.4584509394228533
1103	10-14	0.30973320576166685
1103	15-19	-0.284605949342847
1103	20-24	0.5553891967850575
1103	25-29	0.6132221915553089
1103	30-34	0.634068871712536
