##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	D_R2.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	148524
Sequences flagged as poor quality	0
Sequence length	151
%GC	61
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.04181142441625	37.0	37.0	37.0	37.0	37.0
2	36.148918693275164	37.0	37.0	37.0	37.0	37.0
3	35.963797096765504	37.0	37.0	37.0	37.0	37.0
4	36.07635129676012	37.0	37.0	37.0	37.0	37.0
5	36.11688346664512	37.0	37.0	37.0	37.0	37.0
6	36.142710942339285	37.0	37.0	37.0	37.0	37.0
7	36.17944574614204	37.0	37.0	37.0	37.0	37.0
8	36.21311033906978	37.0	37.0	37.0	37.0	37.0
9	36.18177533597264	37.0	37.0	37.0	37.0	37.0
10-14	36.23990735504026	37.0	37.0	37.0	37.0	37.0
15-19	36.2300880665751	37.0	37.0	37.0	37.0	37.0
20-24	36.216740728771114	37.0	37.0	37.0	37.0	37.0
25-29	36.19079206054241	37.0	37.0	37.0	37.0	37.0
30-34	36.16888583663247	37.0	37.0	37.0	37.0	37.0
35-39	36.15485982063505	37.0	37.0	37.0	37.0	37.0
40-44	36.1365893727613	37.0	37.0	37.0	37.0	37.0
45-49	36.09740647976084	37.0	37.0	37.0	37.0	37.0
50-54	36.07671487436373	37.0	37.0	37.0	37.0	37.0
55-59	36.03779591177183	37.0	37.0	37.0	37.0	37.0
60-64	35.965781961164524	37.0	37.0	37.0	37.0	37.0
65-69	35.930432792006684	37.0	37.0	37.0	37.0	37.0
70-74	35.88696776278581	37.0	37.0	37.0	37.0	37.0
75-79	35.84423662169077	37.0	37.0	37.0	37.0	37.0
80-84	35.80154587810724	37.0	37.0	37.0	37.0	37.0
85-89	35.7724704424874	37.0	37.0	37.0	37.0	37.0
90-94	35.700918370095074	37.0	37.0	37.0	37.0	37.0
95-99	35.67770057364466	37.0	37.0	37.0	37.0	37.0
100-104	35.54892003985888	37.0	37.0	37.0	37.0	37.0
105-109	35.471282755648915	37.0	37.0	37.0	37.0	37.0
110-114	35.353723303977816	37.0	37.0	37.0	37.0	37.0
115-119	35.1793797635399	37.0	37.0	37.0	32.2	37.0
120-124	34.905106245455286	37.0	37.0	37.0	25.0	37.0
125-129	34.63812582478253	37.0	37.0	37.0	25.0	37.0
130-134	34.29911394791414	37.0	37.0	37.0	25.0	37.0
135-139	33.85179499609491	37.0	37.0	37.0	25.0	37.0
140-144	33.39274595351593	37.0	37.0	37.0	13.8	37.0
145-149	32.9799547547871	37.0	37.0	37.0	11.0	37.0
150-151	32.21267269936172	37.0	31.0	37.0	11.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.6539111698569329
1101	2	-0.8702546088580476
1101	3	0.17647539911023813
1101	4	-0.8113480408605227
1101	5	0.09125606985686119
1101	6	0.07941786754950186
1101	7	0.07250585968112233
1101	8	0.7977368335300312
1101	9	-0.005500786259602819
1101	10-14	0.428045969404657
1101	15-19	0.09078404024185716
1101	20-24	0.4150520225014347
1101	25-29	0.6621251890249624
1101	30-34	0.33538259705122186
1101	35-39	0.3497324918674849
1101	40-44	0.3764527128035624
1101	45-49	0.7227335365464924
1101	50-54	0.9347149937901094
1101	55-59	0.6316950828518273
1101	60-64	0.8622633647573394
1101	65-69	0.903684089248884
1101	70-74	1.1165628584452278
1101	75-79	-0.01604332309167944
1101	80-84	0.1752175233739166
1101	85-89	1.036492871968015
1101	90-94	1.2851705324035834
1101	95-99	-0.37141118319735256
1101	100-104	1.1249290771474776
1101	105-109	0.3301270984791813
1101	110-114	-0.2143220524241869
1101	115-119	0.5918669808378638
1101	120-124	0.014949097541318679
1101	125-129	1.2117395549056909
1101	130-134	0.2053117877953241
1101	135-139	0.8029632969953582
1101	140-144	0.14681293708241583
1101	145-149	-0.8235414546294493
1101	150-151	-1.6486766516663423
1102	1	0.3460888301430671
1102	2	-0.4369212755247105
1102	3	0.9764753991102353
1102	4	0.9219852924728116
1102	5	0.2912560698568569
1102	6	0.879417867549499
1102	7	0.8725058596811195
1102	8	0.1977368335300298
1102	9	0.19449921374039292
1102	10-14	0.034712636071333236
1102	15-19	-0.22254929309148253
1102	20-24	0.4017186891681064
1102	25-29	0.18212518902496555
1102	30-34	0.5753825970512239
1102	35-39	0.3297324918674889
1102	40-44	0.3564527128035593
1102	45-49	0.14273353654650123
1102	50-54	0.5747149937901099
1102	55-59	0.35169508285183326
1102	60-64	0.4022633647573457
1102	65-69	-0.31631591075111487
1102	70-74	0.7365628584452253
1102	75-79	-0.20270998975834686
1102	80-84	0.6818841900405772
1102	85-89	-0.3035071280319812
1102	90-94	0.9051705324035808
1102	95-99	0.8552554834693069
1102	100-104	-0.7150709228525187
1102	105-109	0.4034604318125048
1102	110-114	-1.1543220524241775
1102	115-119	-0.39479968582880787
1102	120-124	0.04828243087465012
1102	125-129	-0.2549271117609777
1102	130-134	-1.4813548788713433
1102	135-139	-0.5037033696713067
1102	140-144	-2.8198537295842527
1102	145-149	-0.6235414546294535
1102	150-151	-0.698676651666343
1103	1	0.19608883014306855
1103	2	-1.5119212755247133
1103	3	0.9764753991102353
1103	4	-0.7030147075271884
1103	5	0.14125606985685835
1103	6	0.879417867549499
1103	7	0.8725058596811195
1103	8	0.04773683353003122
1103	9	0.7944992137403943
1103	10-14	0.2997126360713267
1103	15-19	0.13245070690852145
1103	20-24	0.6117186891681072
1103	25-29	-0.2778748109750353
1103	30-34	-0.23461740294877842
