##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	E_R2.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	103576
Sequences flagged as poor quality	0
Sequence length	151
%GC	62
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.82643662624546	37.0	37.0	37.0	37.0	37.0
2	35.947922298601995	37.0	37.0	37.0	37.0	37.0
3	36.08333976983085	37.0	37.0	37.0	37.0	37.0
4	36.10262995288484	37.0	37.0	37.0	37.0	37.0
5	36.147563142040624	37.0	37.0	37.0	37.0	37.0
6	36.171333127365415	37.0	37.0	37.0	37.0	37.0
7	36.190604000926854	37.0	37.0	37.0	37.0	37.0
8	36.24546226925156	37.0	37.0	37.0	37.0	37.0
9	36.237487448829846	37.0	37.0	37.0	37.0	37.0
10-14	36.25363018459875	37.0	37.0	37.0	37.0	37.0
15-19	36.2611647485904	37.0	37.0	37.0	37.0	37.0
20-24	36.25642619911948	37.0	37.0	37.0	37.0	37.0
25-29	36.21240055611338	37.0	37.0	37.0	37.0	37.0
30-34	36.1925349501815	37.0	37.0	37.0	37.0	37.0
35-39	36.168494631961075	37.0	37.0	37.0	37.0	37.0
40-44	36.13487680543755	37.0	37.0	37.0	37.0	37.0
45-49	36.10202749671738	37.0	37.0	37.0	37.0	37.0
50-54	36.06111647485905	37.0	37.0	37.0	37.0	37.0
55-59	35.99569398316213	37.0	37.0	37.0	37.0	37.0
60-64	35.95964122962849	37.0	37.0	37.0	37.0	37.0
65-69	35.87766277902217	37.0	37.0	37.0	37.0	37.0
70-74	35.807368502355764	37.0	37.0	37.0	37.0	37.0
75-79	35.77314821966478	37.0	37.0	37.0	37.0	37.0
80-84	35.69733529002858	37.0	37.0	37.0	37.0	37.0
85-89	35.626403800108136	37.0	37.0	37.0	37.0	37.0
90-94	35.54255812157256	37.0	37.0	37.0	37.0	37.0
95-99	35.471248165598205	37.0	37.0	37.0	37.0	37.0
100-104	35.36266123426277	37.0	37.0	37.0	37.0	37.0
105-109	35.28404263535954	37.0	37.0	37.0	37.0	37.0
110-114	35.137564686800026	37.0	37.0	37.0	27.4	37.0
115-119	35.0123657990268	37.0	37.0	37.0	25.0	37.0
120-124	34.814501428902446	37.0	37.0	37.0	25.0	37.0
125-129	34.60560747663551	37.0	37.0	37.0	25.0	37.0
130-134	34.34619216806982	37.0	37.0	37.0	25.0	37.0
135-139	34.05638371823589	37.0	37.0	37.0	25.0	37.0
140-144	33.70164323781571	37.0	37.0	37.0	25.0	37.0
145-149	33.39205607476636	37.0	37.0	37.0	16.6	37.0
150-151	32.56662740403182	37.0	31.0	37.0	11.0	37.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-1.864179094326154
1101	2	-0.9400371008732122
1101	3	-4.4510754032153095
1101	4	-1.172437994209261
1101	5	0.8425709499427256
1101	6	-3.314239607244893
1101	7	-0.23348057450623116
1101	8	0.7304666836152336
1101	9	0.7426802475916432
1101	10-14	0.12487786761446529
1101	15-19	0.09967400271226268
1101	20-24	0.32550450820056653
1101	25-29	0.3623696256190385
1101	30-34	0.13793535541743296
1101	35-39	-0.6258842330788568
1101	40-44	0.8476004783998548
1101	45-49	0.23233932869958807
1101	50-54	-0.16796496716651887
1101	55-59	-0.9070262090152852
1101	60-64	-0.03149925471851134
1101	65-69	-1.2048906950613443
1101	70-74	0.7636359319343811
1101	75-79	-0.19713267791229327
1101	80-84	0.043857704638206485
1101	85-89	-0.7811036376477674
1101	90-94	-3.4964324436317753
1101	95-99	-1.236222245368154
1101	100-104	-0.5062338443984444
1101	105-109	0.4550794188981797
1101	110-114	-0.30931027333933514
1101	115-119	-0.950670923191673
1101	120-124	-2.0736143609616633
1101	125-129	0.0441372000855651
1101	130-134	-2.8003179202368678
1101	135-139	-2.0792128368042953
1101	140-144	-1.3653762192223553
1101	145-149	-3.017818630311112
1101	150-151	-0.8875578008732035
1102	1	1.135820905673846
1102	2	0.05996289912678776
1102	3	-0.11774206988197733
1102	4	0.8275620057907389
1102	5	-1.3240957167239387
1102	6	0.8524270594217711
1102	7	0.7665194254937688
1102	8	0.7304666836152336
1102	9	0.7426802475916432
1102	10-14	0.32487786761446813
1102	15-19	0.2996740027122655
1102	20-24	0.1255045082005637
1102	25-29	0.5623696256190343
1102	30-34	0.37126868875076724
1102	35-39	0.6074491002544704
1102	40-44	0.44760047839985617
1102	45-49	-0.20099400463374195
1102	50-54	0.6987016995001412
1102	55-59	0.7929737909847105
1102	60-64	1.00183407861482
1102	65-69	0.22844263827199285
1102	70-74	-0.06969740139895464
1102	75-79	-0.030466011245628977
1102	80-84	0.010524371304875046
1102	85-89	0.7522296956855641
1102	90-94	0.5702342230348947
1102	95-99	0.49711108796518033
1102	100-104	1.0270994889348941
1102	105-109	0.7217460855648454
1102	110-114	0.3906897266606677
1102	115-119	0.5159957434749955
1102	120-124	0.5597189723716696
1102	125-129	0.7108038667522223
1102	130-134	0.26634874642979867
1102	135-139	0.9874538298623747
1102	140-144	1.2346237807776532
1102	145-149	0.548848036355551
1102	150-151	-1.970891134206532
1103	1	1.135820905673846
1103	2	0.13688597604986796
1103	3	0.8822579301180227
1103	4	0.8275620057907389
1103	5	-1.1574290500572744
1103	6	0.8524270594217711
1103	7	0.7665194254937688
1103	8	0.7304666836152336
1103	9	0.7426802475916432
1103	10-14	-0.04435290161629979
1103	15-19	-0.25417215113389346
1103	20-24	0.17165835435441323
1103	25-29	0.5777542410036531
1103	30-34	-0.18257746509539174
1103	35-39	0.2228337156390907
1103	40-44	-0.6908610600616782
1103	45-49	-1.6907375943773317
1103	50-54	-0.23975983896139041
1103	55-59	-2.145487747476821
1103	60-64	-0.6904736136928733
1103	65-69	-1.643352233522883
1103	70-74	-0.15687688857844506
1103	75-79	-2.674055754835372
1103	80-84	-1.0612705004899965
1103	85-89	-2.0016164581605906
1103	90-94	-0.9041247513240833
1103	95-99	0.2073674982215863
1103	100-104	-0.06520820337279787
1103	105-109	0.18328454710331243
1103	110-114	-0.11443847846754096
1103	115-119	-0.3250298975506496
1103	120-124	-0.36335795070525023
1103	125-129	-0.053298697350335544
1103	130-134	-2.541343561262508
1103	135-139	0.14899229140083037
1103	140-144	0.40898275513662696
1103	145-149	0.041155728663241575
1103	150-151	-0.47730139061678756
1104	1	0.21274398259692617
1104	2	1.0599628991267878
1104	3	0.8822579301180227
1104	4	-0.09551491728618089
1104	5	0.8425709499427256
1104	6	0.8524270594217711
1104	7	0.7665194254937688
1104	8	-0.1926102394616862
1104	9	-1.2573197524083568
1104	10-14	0.14026248299908417
1104	15-19	0.6996740027122641
