##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	F_R1.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	106123
Sequences flagged as poor quality	0
Sequence length	151
%GC	62
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.13748197845896	37.0	37.0	37.0	37.0	37.0
2	36.15677091676639	37.0	37.0	37.0	37.0	37.0
3	36.250727928912674	37.0	37.0	37.0	37.0	37.0
4	36.31719796839516	37.0	37.0	37.0	37.0	37.0
5	36.34513724640276	37.0	37.0	37.0	37.0	37.0
6	36.32661157336298	37.0	37.0	37.0	37.0	37.0
7	36.30885858861887	37.0	37.0	37.0	37.0	37.0
8	36.34681454538602	37.0	37.0	37.0	37.0	37.0
9	36.34225379983604	37.0	37.0	37.0	37.0	37.0
10-14	36.36302215353882	37.0	37.0	37.0	37.0	37.0
15-19	36.36321061409874	37.0	37.0	37.0	37.0	37.0
20-24	36.35143559831516	37.0	37.0	37.0	37.0	37.0
25-29	36.30970666113849	37.0	37.0	37.0	37.0	37.0
30-34	36.291787831101644	37.0	37.0	37.0	37.0	37.0
35-39	36.276710986308345	37.0	37.0	37.0	37.0	37.0
40-44	36.2448064981201	37.0	37.0	37.0	37.0	37.0
45-49	36.2563157845142	37.0	37.0	37.0	37.0	37.0
50-54	36.236165581447935	37.0	37.0	37.0	37.0	37.0
55-59	36.211296325961385	37.0	37.0	37.0	37.0	37.0
60-64	36.186355455462056	37.0	37.0	37.0	37.0	37.0
65-69	36.163649727203335	37.0	37.0	37.0	37.0	37.0
70-74	36.15897402071182	37.0	37.0	37.0	37.0	37.0
75-79	36.125904846263296	37.0	37.0	37.0	37.0	37.0
80-84	36.1146386739915	37.0	37.0	37.0	37.0	37.0
85-89	36.09584538695665	37.0	37.0	37.0	37.0	37.0
90-94	36.07514299444984	37.0	37.0	37.0	37.0	37.0
95-99	36.0353683932795	37.0	37.0	37.0	37.0	37.0
100-104	36.028123969356315	37.0	37.0	37.0	37.0	37.0
105-109	36.01435504084883	37.0	37.0	37.0	37.0	37.0
110-114	35.97387748179	37.0	37.0	37.0	37.0	37.0
115-119	35.926596496518194	37.0	37.0	37.0	37.0	37.0
120-124	35.84844190232089	37.0	37.0	37.0	37.0	37.0
125-129	35.80128153180743	37.0	37.0	37.0	37.0	37.0
130-134	35.745455744749016	37.0	37.0	37.0	37.0	37.0
135-139	35.6831016838951	37.0	37.0	37.0	37.0	37.0
140-144	35.597265437275624	37.0	37.0	37.0	37.0	37.0
145-149	35.46442335780179	37.0	37.0	37.0	37.0	37.0
150-151	35.0265917850042	37.0	37.0	37.0	31.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	0.8182877508433535
1101	2	-1.3701187530278816
1101	3	-0.28733053090144267
1101	4	0.6093984178354575
1101	5	0.644155870489783
1101	6	0.6632555850174597
1101	7	0.6644785407040246
1101	8	0.6324553944463176
1101	9	0.6628716262718797
1101	10-14	0.4467477403119986
1101	15-19	0.6220421432374721
1101	20-24	0.6220479127738159
1101	25-29	0.27551777352301343
1101	30-34	0.058977168054305196
1101	35-39	0.6994236338769255
1101	40-44	0.34582443218755543
1101	45-49	0.15255178896014598
1101	50-54	0.348513471857153
1101	55-59	0.5654374382390799
1101	60-64	-0.24733974090404587
1101	65-69	0.8217172600317753
1101	70-74	0.3771813357861262
1101	75-79	0.6555407157085043
1101	80-84	0.22657098152949828
1101	85-89	0.45360465452093024
1101	90-94	0.09672041099926787
1101	95-99	0.2899458114786029
1101	100-104	0.7369331512713941
1101	105-109	0.1849977371310061
1101	110-114	0.5806987014717393
1101	115-119	0.6417452345082353
1101	120-124	0.48899386875067563
1101	125-129	-0.03637813320696637
1101	130-134	0.20370418821306657
1101	135-139	1.1007757902185915
1101	140-144	1.0281610370524348
1101	145-149	-2.0541007138565632
1101	150-151	0.9888872043024719
1102	1	0.8182877508433535
1102	2	0.7965479136387827
1102	3	-2.453997197568107
1102	4	0.6093984178354575
1102	5	0.644155870489783
1102	6	-0.33674441498254026
1102	7	0.6644785407040246
1102	8	0.6324553944463176
1102	9	-1.5037950403947846
1102	10-14	0.6467477403120014
1102	15-19	0.2220421432374735
1102	20-24	0.42204791277381304
1102	25-29	0.675517773523012
1102	30-34	0.058977168054305196
1102	35-39	0.6994236338769255
1102	40-44	-0.12084223447910603
1102	45-49	0.3192184556268174
1102	50-54	0.5485134718571487
1102	55-59	0.36543743823908414
1102	60-64	0.5859935924292827
1102	65-69	-0.6782827399682176
1102	70-74	0.17718133578612338
1102	75-79	0.4555407157085085
1102	80-84	0.22657098152949828
1102	85-89	0.2536046545209274
1102	90-94	0.49672041099926645
1102	95-99	0.08994581147860714
1102	100-104	0.936933151271397
1102	105-109	0.5516644037976732
1102	110-114	-0.21930129852826497
1102	115-119	0.408411901174901
1102	120-124	0.2889938687506799
1102	125-129	0.9969552001263651
1102	130-134	0.6370375215463966
1102	135-139	0.30077579021859435
1102	140-144	-0.07183896294756664
1102	145-149	0.679232619476771
1102	150-151	-0.0944461290308567
1103	1	-2.348378915823311
1103	2	0.7965479136387827
1103	3	-0.28733053090144267
1103	4	-0.39060158216454255
1103	5	0.644155870489783
1103	6	0.6632555850174597
1103	7	0.6644785407040246
1103	8	0.6324553944463176
1103	9	-2.5037950403947846
1103	10-14	0.24674774031200286
1103	15-19	0.42204214323746925
1103	20-24	0.2220479127738173
1103	25-29	0.47551777352300917
1103	30-34	0.692310501387638
1103	35-39	0.6994236338769255
1103	40-44	0.312491098854224
1103	45-49	0.5525517889601446
1103	50-54	0.5485134718571487
1103	55-59	0.36543743823908414
1103	60-64	0.7859935924292856
1103	65-69	0.8217172600317753
1103	70-74	0.7771813357861248
1103	75-79	0.2555407157085057
1103	80-84	0.2599043148628297
1103	85-89	0.05360465452093166
1103	90-94	0.49672041099926645
1103	95-99	0.9232791448119357
1103	100-104	0.7369331512713941
1103	105-109	0.5849977371310047
1103	110-114	-0.4859679651949307
1103	115-119	0.6417452345082353
1103	120-124	0.7223272020840099
1103	125-129	0.7969552001263693
1103	130-134	-0.3629624784536034
1103	135-139	0.5007757902185972
1103	140-144	-0.40517229628089524
1103	145-149	1.112565952810101
1103	150-151	0.4888872043024719
1104	1	0.8182877508433535
1104	2	0.7965479136387827
1104	3	0.7126694690985573
1104	4	0.6093984178354575
1104	5	0.644155870489783
1104	6	0.6632555850174597
1104	7	0.6644785407040246
1104	8	0.6324553944463176
1104	9	-0.5371283737281232
1104	10-14	0.6467477403120014
1104	15-19	0.6220421432374721
1104	20-24	0.6220479127738159
1104	25-29	0.675517773523012
1104	30-34	0.45231050138764317
1104	35-39	0.6994236338769255
1104	40-44	0.5058244321875591
1104	45-49	0.5125517889601525
