##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	G_R1.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	156626
Sequences flagged as poor quality	0
Sequence length	151
%GC	60
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.15559357961003	37.0	37.0	37.0	37.0	37.0
2	36.16728384814782	37.0	37.0	37.0	37.0	37.0
3	36.277910436326025	37.0	37.0	37.0	37.0	37.0
4	36.316971639446834	37.0	37.0	37.0	37.0	37.0
5	36.34108002502777	37.0	37.0	37.0	37.0	37.0
6	36.328080906107544	37.0	37.0	37.0	37.0	37.0
7	36.30888869025577	37.0	37.0	37.0	37.0	37.0
8	36.34705604433491	37.0	37.0	37.0	37.0	37.0
9	36.34485972954682	37.0	37.0	37.0	37.0	37.0
10-14	36.38528469091977	37.0	37.0	37.0	37.0	37.0
15-19	36.381550955780014	37.0	37.0	37.0	37.0	37.0
20-24	36.35593068839146	37.0	37.0	37.0	37.0	37.0
25-29	36.30637569752149	37.0	37.0	37.0	37.0	37.0
30-34	36.28627941721042	37.0	37.0	37.0	37.0	37.0
35-39	36.27223066412984	37.0	37.0	37.0	37.0	37.0
40-44	36.25218418397967	37.0	37.0	37.0	37.0	37.0
45-49	36.24297626192331	37.0	37.0	37.0	37.0	37.0
50-54	36.2307407454701	37.0	37.0	37.0	37.0	37.0
55-59	36.202781147446785	37.0	37.0	37.0	37.0	37.0
60-64	36.17727835736085	37.0	37.0	37.0	37.0	37.0
65-69	36.15707481516479	37.0	37.0	37.0	37.0	37.0
70-74	36.152781785910385	37.0	37.0	37.0	37.0	37.0
75-79	36.10833194999553	37.0	37.0	37.0	37.0	37.0
80-84	36.09647823477584	37.0	37.0	37.0	37.0	37.0
85-89	36.06356543613448	37.0	37.0	37.0	37.0	37.0
90-94	36.0367512418117	37.0	37.0	37.0	37.0	37.0
95-99	36.009288368470116	37.0	37.0	37.0	37.0	37.0
100-104	35.99455773626346	37.0	37.0	37.0	37.0	37.0
105-109	35.96783931148085	37.0	37.0	37.0	37.0	37.0
110-114	35.92911010943266	37.0	37.0	37.0	37.0	37.0
115-119	35.86561873507591	37.0	37.0	37.0	37.0	37.0
120-124	35.802022652688564	37.0	37.0	37.0	37.0	37.0
125-129	35.71678520807529	37.0	37.0	37.0	37.0	37.0
130-134	35.628412907180156	37.0	37.0	37.0	37.0	37.0
135-139	35.5224266724554	37.0	37.0	37.0	37.0	37.0
140-144	35.35994023980693	37.0	37.0	37.0	37.0	37.0
145-149	35.16771928032383	37.0	37.0	37.0	34.6	37.0
150-151	34.74266086090432	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-1.3135631049996022
1101	2	0.8161357916287884
1101	3	-1.4017115033124412
1101	4	-0.7688814286458339
1101	5	-0.7442475415123937
1101	6	-0.6845062676835312
1101	7	-1.4592653895581762
1101	8	0.6430771135107634
1101	9	-2.2356965231961112
1101	10-14	-0.6855543232134309
1101	15-19	0.19617476203396222
1101	20-24	-1.6204036588364943
1101	25-29	-0.6857276396078902
1101	30-34	-0.13784593392431077
1101	35-39	-1.6974268362931468
1101	40-44	-1.2092451724210065
1101	45-49	-0.36008449382413943
1101	50-54	-1.6912521194422752
1101	55-59	-2.8923557956206167
1101	60-64	-1.3077092716338754
1101	65-69	-1.4561878655956946
1101	70-74	-1.2870358805117519
1101	75-79	-1.2132421018128525
1101	80-84	-0.6636887806262877
1101	85-89	-2.2094658003993075
1101	90-94	-0.725945352761407
1101	95-99	-1.0925584372706822
1101	100-104	-1.8242228488476044
1101	105-109	-2.214864511278172
1101	110-114	-1.4814914984368954
1101	115-119	-1.8000898349576033
1101	120-124	-0.8988353455562859
1101	125-129	-0.25445035732921184
1101	130-134	0.35379826173093676
1101	135-139	-1.7447127951434993
1101	140-144	-0.5424949281773905
1101	145-149	-0.2918723563671648
1101	150-151	-2.5587785613473812
1102	1	0.7975480061115121
1102	2	0.8161357916287884
1102	3	0.07782066043025537
1102	4	0.675563015798609
1102	5	0.589085791820942
1102	6	0.017248118281386837
1102	7	0.020266774184520386
1102	8	0.6430771135107634
1102	9	0.6531923656927745
1102	10-14	0.32848076450586916
1102	15-19	0.4698589725602744
1102	20-24	-0.15490658281309777
1102	25-29	0.1867869802751585
1102	30-34	0.5802827210464514
1102	35-39	0.32479538592907886
1102	40-44	0.21999459366086427
1102	45-49	0.47734240676064843
1102	50-54	0.47833852383258346
1102	55-59	0.5439015143209076
1102	60-64	0.4466766932784054
1102	65-69	-0.0936147661804938
1102	70-74	0.44512786217830325
1102	75-79	0.6230152081286704
1102	80-84	-0.7291858566496785
1102	85-89	-1.0328576132648095
1102	90-94	-0.2803313176736921
1102	95-99	-0.3522075600777015
1102	100-104	-0.34936904767801025
1102	105-109	0.1032641436925914
1102	110-114	-0.12593594288134113
1102	115-119	-0.5930722910979469
1102	120-124	0.28595997608113777
1102	125-129	0.37478940875266176
1102	130-134	0.2801140512046203
1102	135-139	0.5511936376050386
1102	140-144	-0.616179138703707
1102	145-149	-0.20181387683500418
1102	150-151	0.3301103275415116
1103	1	-1.1024519938884865
1103	2	0.8161357916287884
1103	3	0.7093996077986731
1103	4	0.07556301579860758
1103	5	-0.010914208179059415
1103	6	0.6488270656498045
1103	7	0.6518457215529381
1103	8	-0.6569228864892338
1103	9	0.05319236569277308
1103	10-14	-0.13888765654676405
1103	15-19	0.47617476203395626
1103	20-24	0.12404078560795284
