##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	G_R2.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	156626
Sequences flagged as poor quality	0
Sequence length	151
%GC	60
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.74655548887158	37.0	37.0	37.0	37.0	37.0
2	35.924929449772065	37.0	37.0	37.0	37.0	37.0
3	36.01271819493571	37.0	37.0	37.0	37.0	37.0
4	36.056172027632705	37.0	37.0	37.0	37.0	37.0
5	36.106278651054105	37.0	37.0	37.0	37.0	37.0
6	36.10292033251184	37.0	37.0	37.0	37.0	37.0
7	36.1588497439761	37.0	37.0	37.0	37.0	37.0
8	36.20891805958142	37.0	37.0	37.0	37.0	37.0
9	36.17911457867787	37.0	37.0	37.0	37.0	37.0
10-14	36.20358305772988	37.0	37.0	37.0	37.0	37.0
15-19	36.2212455147932	37.0	37.0	37.0	37.0	37.0
20-24	36.205393740502856	37.0	37.0	37.0	37.0	37.0
25-29	36.195035307037145	37.0	37.0	37.0	37.0	37.0
30-34	36.16595201307573	37.0	37.0	37.0	37.0	37.0
35-39	36.13827589289134	37.0	37.0	37.0	37.0	37.0
40-44	36.11938503185933	37.0	37.0	37.0	37.0	37.0
45-49	36.09736059147268	37.0	37.0	37.0	37.0	37.0
50-54	36.05852029675789	37.0	37.0	37.0	37.0	37.0
55-59	36.021250622502016	37.0	37.0	37.0	37.0	37.0
60-64	35.985331937226256	37.0	37.0	37.0	37.0	37.0
65-69	35.903097825392976	37.0	37.0	37.0	37.0	37.0
70-74	35.836890426876764	37.0	37.0	37.0	37.0	37.0
75-79	35.807404900846606	37.0	37.0	37.0	37.0	37.0
80-84	35.73437998799689	37.0	37.0	37.0	37.0	37.0
85-89	35.68688595763156	37.0	37.0	37.0	37.0	37.0
90-94	35.62228365660874	37.0	37.0	37.0	37.0	37.0
95-99	35.554512022269606	37.0	37.0	37.0	37.0	37.0
100-104	35.47232515674281	37.0	37.0	37.0	37.0	37.0
105-109	35.393038192892625	37.0	37.0	37.0	37.0	37.0
110-114	35.26521394915276	37.0	37.0	37.0	34.6	37.0
115-119	35.153826312361936	37.0	37.0	37.0	27.4	37.0
120-124	35.0074049008466	37.0	37.0	37.0	25.0	37.0
125-129	34.82334350618671	37.0	37.0	37.0	25.0	37.0
130-134	34.58504973631453	37.0	37.0	37.0	25.0	37.0
135-139	34.35093662610294	37.0	37.0	37.0	25.0	37.0
140-144	34.004438598955474	37.0	37.0	37.0	25.0	37.0
145-149	33.7144854621838	37.0	37.0	37.0	25.0	37.0
150-151	32.83214153461111	37.0	37.0	37.0	18.0	37.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.11706563641492806
1101	2	-2.5284531923302396
1101	3	-0.3806372467612036
1101	4	0.2562182853965851
1101	5	-1.235659476845811
1101	6	-1.2523424016996856
1101	7	-0.48878374171557937
1101	8	-1.403888756733764
1101	9	-0.6321849949463498
1101	10-14	-0.05305048534628298
1101	15-19	-1.1897104622489394
1101	20-24	-0.5902981805421845
1101	25-29	-1.164302494754672
1101	30-34	-2.435984719923276
1101	35-39	-0.11593987236815195
1101	40-44	-0.9311402724650719
1101	45-49	-0.3791430002179652
1101	50-54	-0.7629673081102695
1101	55-59	-1.6813247893560046
1101	60-64	-1.5277377600950146
1101	65-69	-3.019158750848206
1101	70-74	-1.4939988254993253
1101	75-79	-3.504425301841053
1101	80-84	-2.975993469791561
1101	85-89	-1.843528756205913
1101	90-94	-1.393551687141418
1101	95-99	-0.9309424199852359
1101	100-104	-2.9916785309185485
1101	105-109	-1.903250643243382
1101	110-114	-2.6305751745273156
1101	115-119	-2.9371934153190082
1101	120-124	-2.929774259966038
1101	125-129	-3.078681901085261
1101	130-134	-2.129435735824636
1101	135-139	-1.3149344259581355
1101	140-144	-2.3088910623369863
1101	145-149	-2.0257616914303824
1101	150-151	-1.2363280577556388
1102	1	-0.15215335571317468
1102	2	-0.9728976367746824
1102	3	0.9526960865721321
1102	4	0.9228849520632494
1102	5	-0.3877062604715391
1102	6	-1.6675470800622563
1102	7	-0.523871461013826
1102	8	0.7072223543773504
1102	9	-1.187740550501907
1102	10-14	-0.15714405259774367
1102	15-19	-0.5604706961670658
1102	20-24	-0.26515198171177445
1102	25-29	-0.135062728672807
1102	30-34	-0.05352857957239365
1102	35-39	-0.2340685273389127
1102	40-44	-0.014181208137586054
1102	45-49	0.2559447190802828
1102	50-54	-0.1044877759465237
1102	55-59	0.2882658539188441
1102	60-64	0.12138504692253349
1102	65-69	-0.8027844818423588
1102	70-74	-0.7010163693589817
1102	75-79	-0.4985773486246856
1102	80-84	0.4895036062318354
1102	85-89	-0.5616574111766752
1102	90-94	-0.5514464239835277
1102	95-99	-0.8057962211548215
1102	100-104	-0.8583451975852086
1102	105-109	-0.9172857309626821
1102	110-114	-0.08437634411796324
1102	115-119	0.010175005733621845
1102	120-124	-1.1742187044104853
1102	125-129	-2.4237111408513385
1102	130-134	-1.5130614668187903
1102	135-139	-0.8108408587066762
1102	140-144	-0.9966103605826007
1102	145-149	-1.2608494107286248
1102	150-151	-1.2714157770538854
1103	1	0.6162676969184062
1103	2	-2.072897636774684
1103	3	0.3526960865721307
1103	4	0.9228849520632494
1103	5	0.27545163426530195
1103	6	-0.34123129058857415
1103	7	0.2445495916177549
1103	8	0.7072223543773504
1103	9	0.812259449498093
1103	10-14	-0.7708282631240593
1103	15-19	-0.2541549066933797
1103	20-24	-0.5925204027644071
