Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
A_R1	63.64703310359111	62.0	151.0	18.181818181818183	86909.0
A_R2	61.503411614447295	62.0	151.0	36.36363636363637	86909.0
B_R1	62.914786884886006	62.0	151.0	18.181818181818183	91101.0
B_R2	61.19581563319832	62.0	151.0	36.36363636363637	91101.0
C_R1	64.31379916531355	61.0	151.0	18.181818181818183	149038.0
C_R2	62.50553550101316	61.0	151.0	27.27272727272727	149038.0
D_R1	64.16673399585252	61.0	151.0	18.181818181818183	148524.0
D_R2	62.3225875952708	61.0	151.0	27.27272727272727	148524.0
E_R1	61.676450142890246	62.0	151.0	18.181818181818183	103576.0
E_R2	61.34046497258052	62.0	151.0	27.27272727272727	103576.0
F_R1	61.80846753295704	62.0	151.0	18.181818181818183	106123.0
F_R2	61.50033451749385	62.0	151.0	27.27272727272727	106123.0
G_R1	59.3860534010956	60.0	151.0	27.27272727272727	156626.0
G_R2	59.64207730517283	60.0	151.0	36.36363636363637	156626.0
H_R1	60.91216449320361	60.0	151.0	27.27272727272727	159423.0
H_R2	61.199450518432094	60.0	151.0	36.36363636363637	159423.0
