Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
A_R1	63.545777767549964	63.0	143.6239399832008	18.181818181818183	86909.0
A_R2	61.3987043919502	62.0	143.62404353979449	27.27272727272727	86909.0
B_R1	62.683175815852735	63.0	140.88646666886203	18.181818181818183	91101.0
B_R2	60.9499346878739	63.0	140.88667522859245	27.27272727272727	91101.0
C_R1	63.93891408787138	62.0	139.0776523792909	9.090909090909092	149036.0
C_R2	62.15209747980354	62.0	139.0776523792909	18.181818181818183	149036.0
D_R1	63.77353155045649	62.0	138.56813040316717	9.090909090909092	148524.0
D_R2	61.95699011607552	62.0	138.56813040316717	18.181818181818183	148524.0
E_R1	61.42832316366726	62.0	142.16388931798872	18.181818181818183	103576.0
E_R2	61.065304703792386	62.0	142.11854097474318	18.181818181818183	103576.0
F_R1	61.538026629477116	62.0	141.79023397378515	9.090909090909092	106123.0
F_R2	61.22423979721644	62.0	141.73137774092328	18.181818181818183	106123.0
G_R1	59.20409127475643	61.0	143.30342344182958	18.181818181818183	156626.0
G_R2	59.440961270797956	61.0	143.24804949369837	18.181818181818183	156626.0
H_R1	60.72210408786687	61.0	143.3894544701831	18.181818181818183	159423.0
H_R2	60.98116332022356	61.0	143.3344247693244	18.181818181818183	159423.0
